name,image_path,dob,photo_taken,gender,face_score,second_face_score
Charlotte Stokely,46/10080646_1986-08-08_2014.jpg,725592,2014,0.0,4.635688026850942,
Johnny Gilbert,71/1008071_1924-07-13_1945.jpg,702921,1945,1.0,1.4458015104354365,
Peter Farrelly,33/1008133_1956-12-17_2009.jpg,714766,2009,1.0,4.161781127489545,
İhsan Doğramacı,50/10081450_1915-04-03_1996.jpg,699532,1996,1.0,2.005963111444034,
Dakota Staton,67/10081867_1930-06-03_1965.jpg,705072,1965,0.0,2.781323688646147,
Bobby Farrelly,83/1008283_1958-06-17_2009.jpg,715313,2009,1.0,5.360786593729777,
Prince Alexander of Yugoslavia,38/1008338_1924-08-13_1958.jpg,702952,1958,1.0,4.226225889421299,2.2523105162575816
Anthony Rapp,52/1008352_1971-10-26_2006.jpg,720192,2006,1.0,2.9220873844885373,
Phil Hartman,40/100840_1948-09-24_1978.jpg,711760,1978,1.0,2.7594944332460702,
Takeru Satoh,76/10084176_1989-03-21_2014.jpg,726548,2014,1.0,4.258463058838422,
Stevie Richards,01/1008501_1971-10-09_2010.jpg,720175,2010,1.0,3.0070373560414723,
Victoria Silvstedt,06/1008506_1974-09-19_2015.jpg,721251,2015,0.0,3.4711606538194655,
Carina Berg,26/10086626_1977-11-01_2008.jpg,722390,2008,0.0,3.9716690521607765,1.726575951621872
Calvert DeForest,66/100866_1921-07-23_1990.jpg,701835,1990,1.0,2.3871495744857594,
Erica Durance,63/1008763_1978-06-21_2009.jpg,722622,2009,0.0,2.322043480425843,
Jean-Guy Lagace,81/10088281_1945-02-05_1973.jpg,710433,1973,1.0,4.273892812842571,
Don Meredith,40/1008840_1938-04-10_1976.jpg,707940,1976,1.0,5.471801208431188,
Sinbad,76/10088476_1956-11-10_2008.jpg,714729,2008,1.0,3.1782766196602013,
Milton Glaser,84/1008884_1929-06-26_2003.jpg,704730,2003,1.0,1.1010123061800645,
Barry Roche,54/10088854_1982-04-06_2002.jpg,724007,2002,1.0,3.5967281798917936,
John Mann,05/1008905_1962-09-18_2010.jpg,716867,2010,1.0,2.243806404032509,
Alan O'Hare,10/10089110_1982-07-31_2009.jpg,724123,2009,1.0,3.708203339374699,
"Emigdio Preciado, Jr.",44/10089844_1969-08-19_2000.jpg,719394,2000,1.0,5.068770127167266,
Preki,09/1009109_1963-06-24_2010.jpg,717146,2010,1.0,1.7768559687972156,
Marcus Kelly,74/10093174_1986-03-16_2012.jpg,725447,2012,1.0,4.448780374003032,
Juno Temple,85/10093585_1989-07-21_2011.jpg,726670,2011,0.0,5.377803558782456,
Frank Oz,36/100936_1944-05-25_2012.jpg,710177,2012,1.0,2.572555614811498,
Bajram Fetai,46/10093846_1985-09-07_2012.jpg,725257,2012,1.0,3.1911841370720655,1.3190015781247697
Ellen Muth,53/1009453_1981-03-06_2007.jpg,723611,2007,0.0,3.2302146331588935,
Steve Hawes,52/10095252_1950-05-26_1972.jpg,712369,1972,1.0,1.608127971960099,
Tidiane Sane,55/10095655_1985-07-10_2012.jpg,725198,2012,1.0,2.2110541436412747,2.166068607263292
Alexandre Giroux,56/10099956_1981-06-16_2010.jpg,723713,2010,1.0,2.4063014749409524,
Bill Kern,36/20000636_1906-09-02_1941.jpg,696397,1941,1.0,3.998757988293682,
Mindy McCready,19/2000219_1975-11-30_1996.jpg,721688,1996,0.0,3.983013757928118,
Eugene H. Peterson,15/2000415_1932-11-06_2009.jpg,705959,2009,1.0,2.4885044811006125,
Don Johnson,53/200053_1949-12-15_1986.jpg,712207,1986,1.0,2.741761905960691,
Rupert Friend,62/2000562_1981-10-01_2013.jpg,723820,2013,1.0,4.812911786339091,
Esteban Gutiérrez,88/20005788_1991-08-05_2009.jpg,727415,2009,1.0,5.36869393695384,0.9310528590828241
Graeme McDowell,81/2000781_1979-07-30_2012.jpg,723026,2012,1.0,2.43925229637863,
James W. Pennebaker,74/20008074_1950-03-02_2011.jpg,712284,2011,1.0,3.478167522051689,
Jesse Randhawa,58/20008258_1975-08-11_2011.jpg,721577,2011,0.0,4.375279110567746,1.1771048723453676
Perry Friedman,64/20010364_1968-05-15_2007.jpg,718933,2007,1.0,3.871675420001214,
Glenn Strömberg,18/2001318_1960-01-05_2013.jpg,715880,2013,1.0,3.0790350031956883,
Facundo Pieres,06/20013406_1986-05-19_2012.jpg,725511,2012,1.0,5.5389936931229675,
Sergei Salnikov,13/20013513_1925-09-13_1958.jpg,703348,1958,1.0,3.208500419411118,
Edith Evans Asbury,42/20015042_1910-06-30_2005.jpg,697794,2005,0.0,2.6300548556662338,
Harmeet Singh,78/20015278_1990-11-12_2011.jpg,727149,2011,1.0,3.9138214575849912,
Charlie Winston,34/20015634_1978-09-14_2010.jpg,722707,2010,1.0,2.6038189281508775,
Cyrille Guimard,40/2001740_1947-01-20_1993.jpg,711147,1993,1.0,5.103265261952116,
Carl Ouellet,80/2001780_1967-12-30_1995.jpg,718796,1995,1.0,1.8475234369528106,1.8240559953557147
Konstantin Menshov,83/20020283_1983-02-23_2011.jpg,724330,2011,1.0,1.6904975438141203,
Greg Graffin,02/200202_1964-11-06_2007.jpg,717647,2007,1.0,2.313905249227365,
Liam Hemsworth,61/20022961_1990-01-13_2014.jpg,726846,2014,1.0,5.000933250085387,
Christine Zukowski,08/2002308_1989-08-09_2005.jpg,726689,2005,0.0,0.8582554474438233,
Valentina Golubenko,65/20024365_1990-07-29_2008.jpg,727043,2008,0.0,2.349312627783017,
Morihiro Hosokawa,52/200252_1938-01-14_2014.jpg,707854,2014,1.0,0.9439488915815398,
Edi Gathegi,55/20025755_1979-03-10_2009.jpg,722884,2009,1.0,3.3510355663756126,
Reg Harris,10/2002610_1920-03-01_1948.jpg,701326,1948,1.0,2.177577725824244,
Ken Johnson,69/20027069_1923-01-14_1951.jpg,702375,1951,1.0,3.606033695402701,
Jordan Henderson,50/20027350_1990-06-17_2014.jpg,727001,2014,1.0,3.975564742137427,
Nolwenn Leroy,56/2002856_1982-09-28_2013.jpg,724182,2013,0.0,3.605292345812248,
Rory Loy,87/20028987_1988-03-19_2009.jpg,726181,2009,1.0,2.918284916684137,
Dawid Banaczek,29/20029729_1979-06-03_2014.jpg,722969,2014,1.0,2.1924627205951417,
Marc Gunn,46/2003146_1972-03-17_2011.jpg,720335,2011,1.0,1.333864237699229,
Terrell Suggs,34/2003234_1982-10-11_2011.jpg,724195,2011,1.0,1.4558042145020382,
John McNally,82/20032482_1941-08-30_2015.jpg,709178,2015,1.0,2.7311731929542487,
Mike Oldfield,32/20032_1953-05-15_2006.jpg,713454,2006,1.0,2.3418820174723334,
Upasana Singh,40/20033040_1967-06-29_2009.jpg,718612,2009,0.0,4.333820056987025,
Scott Lively,35/20033935_1957-12-14_2014.jpg,715128,2014,1.0,4.084451355455438,
Chris Pizzotti,55/20034355_1986-06-29_2009.jpg,725552,2009,1.0,3.3402869928756678,
"Henry Maitland Wilson, 1st Baron Wilson",57/200357_1881-09-05_1944.jpg,687270,1944,1.0,3.4323014729513113,
Stephanie Coontz,40/2003740_1944-08-31_2012.jpg,710275,2012,0.0,2.7749817321348615,
Harry Meyen,36/20038036_1924-08-31_1971.jpg,702970,1971,1.0,2.477445295301896,1.8395277695780694
Albert Kesselring,85/200385_1885-11-30_1940.jpg,688817,1940,1.0,3.2480139656448825,
Hege Bøkko,15/20039715_1991-09-05_2008.jpg,727446,2008,0.0,0.9945321570387258,
Ray Emery,01/2004001_1982-09-28_2012.jpg,724182,2012,1.0,0.9102904086287956,
Walther Buhle,03/20042203_1894-10-26_1944.jpg,692069,1944,1.0,3.6899224825573125,
Andrew McMahon,30/2004430_1982-09-03_2014.jpg,724157,2014,1.0,2.0061393263524976,
Ben Offereins,52/20045952_1986-03-12_2009.jpg,725443,2009,1.0,2.375085305773219,1.9352117774384876
Tarsem Singh,55/2004855_1961-05-26_2011.jpg,716387,2011,1.0,5.277782509974504,
Ricardo La Volpe,35/2004935_1952-02-06_2008.jpg,712990,2008,1.0,1.6279033714525932,
Ken Block,28/20050128_1967-11-21_2010.jpg,718757,2010,1.0,3.582895142316236,
Saffron Burrows,90/2005290_1972-10-22_2008.jpg,720554,2008,0.0,6.18273825571757,
Robin Clark,72/20053572_1982-04-06_2009.jpg,724007,2009,1.0,2.8608029447764833,
José Ramos Delgado,58/20054558_1935-08-25_1956.jpg,706981,1956,1.0,3.14167547575474,
Cherry Jones,74/2005574_1956-11-21_2009.jpg,714740,2009,0.0,3.343297544227484,
Paul Bettany,63/200563_1971-05-27_2014.jpg,720040,2014,1.0,2.5677381413577476,
Warren Zevon,91/200591_1947-01-24_1978.jpg,711151,1978,1.0,4.0171314512160645,
Norberto Yácono,86/20060786_1919-01-08_1942.jpg,700908,1942,1.0,1.7106886373478298,
Brandon Tate,62/20063362_1987-10-05_2011.jpg,726015,2011,1.0,2.1831907068876077,
Mike Mazurki,61/2006361_1907-12-25_1945.jpg,696876,1945,1.0,3.351737501130647,
Adam McQuaid,82/20064382_1986-10-12_2014.jpg,725657,2014,1.0,2.623538282739036,
David Lee,75/2006475_1931-01-20_2007.jpg,705303,2007,1.0,1.702989264590325,
Samuel Dalembert,85/2006485_1981-05-10_2014.jpg,723676,2014,1.0,2.7863120968623525,
Vin Denson,81/20065381_1935-11-24_1960.jpg,707072,1960,1.0,3.407413090620837,
Mohammad Reza Pahlavi,98/20065598_1919-10-26_1973.jpg,701199,1973,1.0,4.559077248816067,
Drew Rosenhaus,79/2006579_1966-10-29_2003.jpg,718369,2003,1.0,3.239919684022404,
Chelsea Clinton,83/200683_1980-02-27_2008.jpg,723238,2008,0.0,2.39084817850307,
Mark Canton,09/20068709_1949-06-19_2011.jpg,712028,2011,1.0,3.9335734995639116,
Ray Griggs,78/20069078_1974-04-24_2009.jpg,721103,2009,1.0,4.749769752244823,
Akiva Goldsman,30/2006930_1962-07-07_2011.jpg,716794,2011,1.0,3.4932768335725615,
Rona Kenan,24/20069824_1979-07-26_2004.jpg,723022,2004,0.0,2.4745528607479472,
Taryn Terrell,69/20070169_1985-12-28_2013.jpg,725369,2013,0.0,2.822671641976113,2.0513200320153793
Don McGregor,94/2007194_1945-06-15_2015.jpg,710563,2015,1.0,3.2845820970333324,
Wally Boag,35/2007335_1920-09-13_1970.jpg,701522,1970,1.0,1.8470916644859006,
Adrien Brody,50/200750_1973-04-14_2014.jpg,720728,2014,1.0,4.62303667852391,
Volador Jr.,71/20076571_1981-01-26_2010.jpg,723572,2010,1.0,1.4689333301814451,
Fred Newman,87/2007787_1952-05-06_2014.jpg,713080,2014,1.0,2.934384048889881,
Bobby Cannavale,16/2008016_1970-05-03_2009.jpg,719651,2009,1.0,3.8321255588471015,
Andrei Voznesensky,97/2008097_1933-05-12_2008.jpg,706146,2008,1.0,1.8725381162877457,
Fred West,22/200822_1941-09-29_1980.jpg,709208,1980,0.0,4.519110703580289,1.9938752355358207
Rania Zeriri,50/20084050_1986-01-06_2008.jpg,725378,2008,0.0,4.952786159838876,1.0212580723711722
Gilad Atzmon,84/2008784_1963-06-09_2007.jpg,717131,2007,1.0,1.985817412340181,
Ronnie Knox,29/20088629_1935-02-14_1956.jpg,706789,1956,1.0,4.54427262822227,
Arnold Galiffa,13/20089113_1927-01-29_1955.jpg,703851,1955,1.0,4.2741634084368565,0.8051340004401897
Jack Dorsey,15/20089715_1976-11-19_2012.jpg,722043,2012,1.0,4.844692223512698,
Mohamed Al-Fayed,89/20089_1929-01-27_2011.jpg,704580,2011,1.0,2.0632537519415504,
Kerry Reid,95/2009095_1947-08-07_1969.jpg,711346,1969,0.0,1.0384928909755111,
Max Minghella,26/2009326_1985-09-16_2010.jpg,725266,2010,1.0,6.068164836253979,
Glacier,14/2009614_1964-05-13_2008.jpg,717470,2008,1.0,3.784798629153987,
Nate Parker,16/20096416_1979-11-18_2014.jpg,723137,2014,1.0,3.8751403802789235,2.4093499917502825
Fat Tony,23/20096423_1988-03-24_2013.jpg,726186,2013,1.0,1.5292536908970327,
Aleš Hemský,71/2009771_1983-08-13_2014.jpg,724501,2014,1.0,1.4156556389522543,
Neal Broten,67/2009867_1959-11-29_2008.jpg,715843,2008,1.0,4.072288078459901,3.9778033597865914
Maury Duncan,50/20099950_1931-07-18_1957.jpg,705482,1957,1.0,1.2235658288705904,0.8104010313423067
Alvar Aalto,09/2009_1898-02-03_1950.jpg,693265,1950,1.0,1.2629624128994497,
Papoose,72/3000072_1978-03-05_2013.jpg,722514,2013,1.0,2.2385682033922625,
Benjamin Francis Leftwich,36/30001236_1989-09-04_2011.jpg,726715,2011,1.0,3.257937105465756,
Martin Emmrich,35/30001835_1984-12-17_2013.jpg,724993,2013,1.0,2.592093819604717,
Ian Williams,17/30003517_1989-08-31_2012.jpg,726711,2012,1.0,0.8022266891591255,
Mika Zibanejad,28/30003728_1993-04-18_2013.jpg,728037,2013,1.0,1.2417392827567628,
Femi Ogunode,56/30004256_1991-05-15_2011.jpg,727333,2011,1.0,2.1073246020641245,1.7366489447891746
Larry Olsonoski,25/30007125_1925-09-10_1948.jpg,703345,1948,1.0,2.552825276854363,
Kristinn Hrafnsson,57/30007557_1962-06-25_2011.jpg,716782,2011,1.0,2.9272859604654102,
Katarina Bulatović,87/30008387_1984-11-15_2012.jpg,724961,2012,0.0,4.249692917844397,
Mikaël Kingsbury,53/30009853_1992-07-24_2015.jpg,727769,2015,1.0,4.347396953104787,
Laurence Fox,89/3001089_1978-05-26_2008.jpg,722596,2008,1.0,2.853352652659907,
Lindsay Sloane,99/3001099_1977-08-08_2011.jpg,722305,2011,0.0,4.642086811872575,
Servet Çetin,33/3001133_1981-03-17_2012.jpg,723622,2012,1.0,0.9307001587074293,
Murray Head,14/300114_1946-03-05_2013.jpg,710826,2013,1.0,0.8717040425876875,
Kendall Reyes,31/30011631_1989-09-26_2013.jpg,726737,2013,1.0,1.478670903168744,
Dirk Schulze-Makuch,35/30011835_1964-01-29_2010.jpg,717365,2010,1.0,4.356467167327704,
Selçuk Şahin,26/3001226_1981-01-31_2012.jpg,723577,2012,,3.7299829797836868,
Olcan Adın,47/3001247_1985-09-30_2014.jpg,725280,2014,1.0,2.711410698885475,
Anna Rossinelli,53/30012853_1987-04-20_2012.jpg,725847,2012,0.0,1.3201732470115939,
Angélica María,77/3001477_1944-09-27_2010.jpg,710302,2010,0.0,3.7295535088973613,
Alex Fasolo,21/30015421_1992-06-08_2014.jpg,727723,2014,1.0,0.9724682768301127,
Moses Chan,53/3002053_1971-04-16_2011.jpg,719999,2011,1.0,4.710275031407023,
Mark Millar,64/30020764_1988-02-23_2013.jpg,726156,2013,1.0,2.18414365704639,
Lars Vaular,29/30021129_1984-09-20_2011.jpg,724905,2011,1.0,5.125608921860912,
360,06/30022306_1986-07-12_2012.jpg,725565,2012,1.0,2.8484382663560033,
Juan Carlos Vellido,36/30022636_1968-03-18_2007.jpg,718875,2007,1.0,5.191681539214649,
Peter van Merksteijn Jr.,22/30026522_1982-09-01_2008.jpg,724155,2008,1.0,2.5023721586078516,
Clint Mansell,68/300268_1963-01-07_2009.jpg,716978,2009,1.0,0.9346866403959102,
Norm Winningstad,25/30028425_1925-11-05_2008.jpg,703401,2008,1.0,4.009530996489213,
Clive Nolan,12/30028612_1961-06-30_2008.jpg,716422,2008,1.0,2.987054906821374,
Jay Aston,76/3002876_1961-05-04_2009.jpg,716365,2009,0.0,1.487207777814476,
Franck Ribéry,12/3002912_1983-04-07_2012.jpg,724373,2012,1.0,3.8917223394082043,
Edzard Reuter,80/3002980_1928-02-16_2013.jpg,704234,2013,1.0,1.212156430536653,
Terry Pratchett,29/30029_1948-04-28_2012.jpg,711611,2012,1.0,2.2016948189792696,
Jesús Huerta de Soto,21/3003021_1956-12-23_2014.jpg,714772,2014,1.0,4.377862216443561,
Jenni Murray,43/3003343_1950-05-12_2011.jpg,712355,2011,0.0,0.886086179734517,
Vanessa Angel,79/3003379_1966-11-10_2009.jpg,718381,2009,0.0,2.7822626592857596,
Tony Mangan,47/30034447_1957-04-20_2011.jpg,714890,2011,1.0,4.713011835182248,
Tim Berners-Lee,34/30034_1955-06-08_2014.jpg,714208,2014,1.0,4.577596879767921,
Alex Turner,83/3003683_1986-01-06_2014.jpg,725378,2014,1.0,2.4392723840654487,
Marie-Chantal Depetris-Demaille,80/30038580_1941-12-17_2011.jpg,709287,2011,0.0,1.664029839870572,
Frank Wrathall,67/30038667_1986-10-04_2012.jpg,725649,2012,1.0,2.4410871890485932,
Ryan A. Conklin,03/30040203_1985-04-01_2006.jpg,725098,2006,1.0,4.190981761736861,
Taijuan Walker,35/30040535_1992-08-13_2015.jpg,727789,2015,1.0,1.8572590449006976,
Andrej Meszároš,63/3004363_1985-10-13_2014.jpg,725293,2014,1.0,1.0490652278188313,
Mic Murphy,51/30045851_1958-01-09_2011.jpg,715154,2011,1.0,2.831577690856035,
Shahril Ishak,96/3004596_1984-01-23_2012.jpg,724664,2012,1.0,1.3060727429143226,
Harold Hamm,02/30046202_1945-12-11_2012.jpg,710742,2012,1.0,4.029321959307656,
Wenche Foss,31/3004631_1917-12-05_1959.jpg,700509,1959,0.0,2.8133017546563845,
